dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.728007,2.880896,4.282073,0.810459,-1.859599,-0.187566,1.540491
0.020000,2.728453,2.896354,4.297538,0.773213,-1.862272,-0.133655,1.543416
0.020000,2.728836,2.911068,4.312256,0.735926,-1.864356,-0.104222,1.546176
0.020000,2.729161,2.925034,4.326226,0.698501,-1.871259,-0.345151,1.548775
0.020000,2.729436,2.938254,4.339449,0.661122,-1.868939,0.115994,1.551215
0.020000,2.729666,2.950725,4.351922,0.623664,-1.872930,-0.199502,1.553501
0.020000,2.729857,2.962446,4.363644,0.586117,-1.877322,-0.219613,1.555635
0.020000,2.730012,2.973416,4.374616,0.548575,-1.877089,0.011660,1.557620
0.020000,2.730137,2.983634,4.384835,0.510948,-1.881374,-0.214281,1.559458
0.020000,2.730237,2.993100,4.394301,0.473327,-1.881057,0.015846,1.561151
0.020000,2.730314,3.001814,4.403015,0.435704,-1.881150,-0.004659,1.562701
0.020000,2.730373,3.009773,4.410974,0.397948,-1.887770,-0.330971,1.564111
0.020000,2.730416,3.016978,4.418179,0.360253,-1.884744,0.151284,1.565382
0.020000,2.730448,3.023428,4.424630,0.322514,-1.886989,-0.112244,1.566515
0.020000,2.730469,3.029122,4.430324,0.284738,-1.888770,-0.089060,1.567512
0.020000,2.730483,3.034061,4.435263,0.246945,-1.889659,-0.044447,1.568375
0.020000,2.730492,3.038244,4.439446,0.209152,-1.889662,-0.000115,1.569104
0.020000,2.730497,3.041671,4.442873,0.171348,-1.890166,-0.025241,1.569699
0.020000,2.730499,3.044341,4.445543,0.133480,-1.893405,-0.161913,1.570162
0.020000,2.730500,3.046254,4.447456,0.095667,-1.890667,0.136855,1.570494
0.020000,2.730500,3.047411,4.448613,0.057838,-1.891475,-0.040385,1.570694
0.020000,2.730500,3.047900,4.449102,0.024453,-1.669244,11.111542,1.570779
0.020000,2.730500,3.048000,4.449202,0.004996,-0.972845,34.819945,1.570796
0.020000,2.730500,3.048000,4.449202,0.000000,-0.249786,36.152965,1.570796
