dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.316354,2.300528,4.697068,1.826574,-2.268474,0.620561,1.431526
0.020000,3.321163,2.335829,4.732695,1.781363,-2.260565,0.395441,1.439288
0.020000,3.325588,2.370274,4.767423,1.736402,-2.248018,0.627355,1.446733
0.020000,3.329655,2.403861,4.801255,1.691608,-2.239712,0.415287,1.453871
0.020000,3.333385,2.436589,4.834195,1.646977,-2.231572,0.406978,1.460714
0.020000,3.336802,2.468458,4.866246,1.602581,-2.219779,0.589670,1.467274
0.020000,3.339924,2.499466,4.897412,1.558283,-2.214891,0.244393,1.473559
0.020000,3.342774,2.529615,4.927695,1.514155,-2.206400,0.424542,1.479580
0.020000,3.345367,2.558905,4.957099,1.470196,-2.197948,0.422601,1.485347
0.020000,3.347723,2.587334,4.985626,1.426342,-2.192717,0.261538,1.490867
0.020000,3.349858,2.614904,5.013278,1.382625,-2.185850,0.343392,1.496149
0.020000,3.351788,2.641616,5.040060,1.339073,-2.177576,0.413676,1.501201
0.020000,3.353527,2.667469,5.065972,1.295599,-2.173712,0.193201,1.506030
0.020000,3.355090,2.692465,5.091016,1.252224,-2.168760,0.247586,1.510643
0.020000,3.356491,2.716604,5.115196,1.208989,-2.161772,0.349426,1.515047
0.020000,3.357741,2.739887,5.138513,1.165840,-2.157444,0.216373,1.519247
0.020000,3.358853,2.762315,5.160968,1.122742,-2.154906,0.126920,1.523251
0.020000,3.359838,2.783889,5.182564,1.079824,-2.145860,0.452289,1.527062
0.020000,3.360707,2.804608,5.203302,1.036880,-2.147213,-0.067646,1.530687
0.020000,3.361470,2.824475,5.223184,0.994096,-2.139208,0.400248,1.534131
0.020000,3.362137,2.843491,5.242211,0.951358,-2.136895,0.115638,1.537397
0.020000,3.362716,2.861655,5.260385,0.908682,-2.133820,0.153781,1.540491
0.020000,3.363215,2.878970,5.277706,0.866082,-2.129986,0.191711,1.543416
0.020000,3.363643,2.895435,5.294178,0.823563,-2.125926,0.202976,1.546176
0.020000,3.364007,2.911051,5.309798,0.781010,-2.127669,-0.087125,1.548775
0.020000,3.364315,2.925820,5.324570,0.738620,-2.119493,0.408779,1.551215
0.020000,3.364571,2.939743,5.338495,0.696245,-2.118757,0.036782,1.553501
0.020000,3.364784,2.952819,5.351572,0.653868,-2.118832,-0.003719,1.555635
0.020000,3.364957,2.965049,5.363804,0.611586,-2.114098,0.236664,1.557620
0.020000,3.365096,2.976434,5.375190,0.569292,-2.114746,-0.032401,1.559458
0.020000,3.365207,2.986975,5.385732,0.527080,-2.110595,0.207579,1.561151
0.020000,3.365293,2.996673,5.395430,0.484935,-2.107225,0.168518,1.562701
0.020000,3.365358,3.005527,5.404284,0.442707,-2.111426,-0.210078,1.564111
0.020000,3.365407,3.013539,5.412296,0.400603,-2.105197,0.311478,1.565382
0.020000,3.365442,3.020709,5.419466,0.358500,-2.105127,0.003499,1.566515
0.020000,3.365466,3.027037,5.425795,0.316404,-2.104827,0.014984,1.567512
0.020000,3.365481,3.032524,5.431281,0.274327,-2.103816,0.050525,1.568375
0.020000,3.365491,3.037169,5.435927,0.232285,-2.102097,0.085952,1.569104
0.020000,3.365496,3.040975,5.439732,0.190261,-2.101208,0.044452,1.569699
0.020000,3.365499,3.043938,5.442696,0.148189,-2.103621,-0.120641,1.570162
0.020000,3.365500,3.046062,5.444820,0.106195,-2.099664,0.197844,1.570494
0.020000,3.365500,3.047346,5.446104,0.064197,-2.099905,-0.012047,1.570694
0.020000,3.365500,3.047889,5.446646,0.027140,-1.852856,12.352473,1.570779
0.020000,3.365500,3.048000,5.446757,0.005545,-1.079776,38.653979,1.570796
0.020000,3.365500,3.048000,5.446757,0.000000,-0.277236,40.127010,1.570796
